SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5706 Del Roy Dr,Dallas,TX,75230,925000,3,3,Inwood Road Estates,2842,15464,1951,5,325,,Active,September-8-2021 08:00 AM,September-8-2021 08:00 PM,http://www.redfin.com/TX/Dallas/5706-Del-Roy-Dr-75230/home/30925622,NTREIS,14663069,N,Y,32.9052138,-96.8088295
MLS Listing,,Single Family Residential,710 Annarose Dr,Dallas,TX,75232,325000,4,2,Beckley Heights,1856,17032,2017,6,175,,Active,,,http://www.redfin.com/TX/Dallas/710-Annarose-Dr-75232/home/30936697,NTREIS,14659181,N,Y,32.6720892,-96.8347021
MLS Listing,,Single Family Residential,7317 La Bolsa Dr,Dallas,TX,75248,590000,4,2,Prestonwood,2302,8538,1969,7,256,,Active,September-8-2021 08:00 AM,September-8-2021 08:00 PM,http://www.redfin.com/TX/Dallas/7317-La-Bolsa-Dr-75248/home/31078849,NTREIS,14660260,N,Y,32.9646935,-96.782235
MLS Listing,,Single Family Residential,2332 Materhorn Dr,Dallas,TX,75228,264900,3,1.5,Casa View Oaks 06,1149,7492,1954,8,231,,Active,,,http://www.redfin.com/TX/Dallas/2332-Materhorn-Dr-75228/home/31000233,NTREIS,14658554,N,Y,32.8280157,-96.6774908
MLS Listing,,Condo/Co-op,5335 Bent Tree Forest Dr #209,Dallas,TX,75248,139900,1,1,Bent Tree Forest Drive Condos,687,381847,1981,12,204,177,Active,,,http://www.redfin.com/TX/Dallas/5335-Bent-Tree-Forest-Dr-75248/unit-209/home/31131920,NTREIS,14658458,N,Y,32.965961,-96.816565
MLS Listing,,Single Family Residential,1727 Wildwood Ln,Wylie,TX,75098,385000,3,2,Bozman Farm Estates Ph 6,1793,6621,2019,14,215,42,Active,,,http://www.redfin.com/TX/Wylie/1727-Wildwood-Ln-75098/home/169613970,NTREIS,14653230,N,Y,32.9932412,-96.5049022
MLS Listing,,Single Family Residential,6428 Beckwith Ct,Dallas,TX,75248,449000,3,2,Pepperwood Estates,2188,6490,1978,21,205,,Active,,,http://www.redfin.com/TX/Dallas/6428-Beckwith-Ct-75248/home/31085049,NTREIS,14650961,N,Y,32.9790769,-96.7960226
MLS Listing,,Single Family Residential,6440 Royal Ln,Dallas,TX,75230,910000,4,3,Pemberton Add #3,2356,12023,1952,34,386,,Active,,,http://www.redfin.com/TX/Dallas/6440-Royal-Ln-75230/home/30876439,NTREIS,14639753,N,Y,32.8945159,-96.7947848
MLS Listing,,Single Family Residential,6217 Alpha Rd,Dallas,TX,75240,675000,4,3,Northwood Terrace,2920,15638,1960,42,231,,Active,,,http://www.redfin.com/TX/Dallas/6217-Alpha-Rd-75240/home/31015591,NTREIS,14634738,N,Y,32.9334542,-96.7996217
MLS Listing,,Single Family Residential,5522 Harbor Town Dr,Dallas,TX,75287,1799000,5,6,Bent Tree North,7218,20909,1983,47,249,33,Active,,,http://www.redfin.com/TX/Dallas/5522-Harbor-Town-Dr-75287/home/31846610,NTREIS,14629080,N,Y,32.9879173,-96.8186247
